14.13.9	01c1	αυτου
14.16.14	01c2	και
14.16.15,19	01c2	ηλθον
14.17.5	01c2	γενομενης
14.22.6-7,10-11	01c1	om.
14.22.6-7,10-11	01c2	ο ις
14.31.16-18,20-21,23,26-27	01c2	δεη με συναποθανειν
14.31.32	01c2	ωσαυτως
14.33.3	01c2	τον
14.35.22-24	01c2	δυνατον εστιν
14.38.7	01c2	εισελθητε
14.40.28	01c2	καταβαρυνομενοι
14.43.40	01c1	των
14.45.3-4,6-7	01c2	ελθων προσελθων
14.46.15	01c2	αυτω
14.47.12	01c2	om.
14.61.42	01c2	ευλογητου
14.61.40	01c2	om.
14.70.8	01c2	και
14.72.45	01c2	εκλαιεν
15.4.15	01c2	λεγων
15.6.19	01c2	ονπερ
15.6.21	01c2	ητουντο
15.8.2-3	01c2	αναβοησας
15.10.1	01c2	εγινωσκε
15.14.7	01c2	αυτοις
15.21.2	01c2	αγγαρευουσι
15.22.6-8	01c2	γολγοθα τοπον
15.24.11	01c1	αυτου
15.29.16	01c2a	om.
15.29.16	01c2b	ουα
15.40.29	01c2	ιωσητος
15.43.9	01c2a	αριμαθιας
15.43.9	01c2b	αριμαθαιας
15.43.16	01c2	ος
15.47.1	01c2	η
15.47.3	01c2	μαρια
15.47.5	01c2	η
15.47.7	01c2	και
15.47.10	01c2	μαρια
15.47.11	01c2	η
15.47.17	01c2	ιωσητος
15.47.19	01c2	εθεωρουν
15.47.23	01c2	που
15.47.24	01c2	τεθειται
16.1.1-4	01c2	και
16.1.5-9	01c2	διαγενομενου (του) σαββατου
16.1.11-12	01c2	om.
16.1.18-19	01c2	η του
16.2.13-14	01c2	το μνημειον
16.6.16-20	01c1	 ζητειτε τον ναζαρηνον
16.6.17,20	01c1	ναζαρηνον

